Stock Name,Index
Coal India Ltd.,NIFTY 500
Cochin Shipyard Ltd.,NIFTY 500
Coforge Ltd.,NIFTY 500
Cohance Lifesciences Ltd.,NIFTY 500
Colgate Palmolive (India) Ltd.,NIFTY 500
Computer Age Management Services Ltd.,NIFTY 500
Concord Biotech Ltd.,NIFTY 500
Container Corporation of India Ltd.,NIFTY 500
Coromandel International Ltd.,NIFTY 500
Craftsman Automation Ltd.,NIFTY 500
CreditAccess Grameen Ltd.,NIFTY 500
Crompton Greaves Consumer Electricals Ltd.,NIFTY 500
Cummins India Ltd.,NIFTY 500
Cyient Ltd.,NIFTY 500
DCM Shriram Ltd.,NIFTY 500
DLF Ltd.,NIFTY 500
DOMS Industries Ltd.,NIFTY 500
Dabur India Ltd.,NIFTY 500
Dalmia Bharat Ltd.,NIFTY 500
Data Patterns (India) Ltd.,NIFTY 500
Deepak Fertilisers & Petrochemicals Corp. Ltd.,NIFTY 500
Deepak Nitrite Ltd.,NIFTY 500
Delhivery Ltd.,NIFTY 500
Devyani International Ltd.,NIFTY 500
Divi's Laboratories Ltd.,NIFTY 500
Dixon Technologies (India) Ltd.,NIFTY 500
Dr. Agarwal's Health Care Ltd.,NIFTY 500
Dr. Lal Path Labs Ltd.,NIFTY 500
Dr. Reddy's Laboratories Ltd.,NIFTY 500
Dummy Hindustan Unilever Ltd.,NIFTY 500
E.I.D. Parry (India) Ltd.,NIFTY 500
EIH Ltd.,NIFTY 500
Eicher Motors Ltd.,NIFTY 500
Elecon Engineering Co. Ltd.,NIFTY 500
Elgi Equipments Ltd.,NIFTY 500
Emami Ltd.,NIFTY 500
Emcure Pharmaceuticals Ltd.,NIFTY 500
Endurance Technologies Ltd.,NIFTY 500
Engineers India Ltd.,NIFTY 500
Eris Lifesciences Ltd.,NIFTY 500
Escorts Kubota Ltd.,NIFTY 500
Eternal Ltd.,NIFTY 500
Exide Industries Ltd.,NIFTY 500
FSN E-Commerce Ventures Ltd.,NIFTY 500
Federal Bank Ltd.,NIFTY 500
Fertilisers and Chemicals Travancore Ltd.,NIFTY 500
Finolex Cables Ltd.,NIFTY 500
Finolex Industries Ltd.,NIFTY 500
Firstsource Solutions Ltd.,NIFTY 500
